501,HOLTSVILLE,NY,40.81792831,-73.04531098
544,HOLTSVILLE,NY,40.81726837,-73.04597474
1001,AGAWAM,MA,42.063694,-72.6269455
1002,AMHERST,MA,42.37322235,-72.51985169
1003,AMHERST,MA,42.39565658,-72.52196503
1004,AMHERST,MA,42.3761177,-72.53240967
1005,BARRE,MA,42.4228363,-72.10508729
1007,BELCHERTOWN,MA,42.27703475,-72.40088654
1008,BLANDFORD,MA,42.18064498,-72.92732239
1009,BONDSVILLE,MA,42.21498107,-72.34406281
1010,BRIMFIELD,MA,42.12254714,-72.20050812
1011,CHESTER,MA,42.27925491,-72.97871399
1012,CHESTERFIELD,MA,42.38023376,-72.84564209
1013,CHICOPEE,MA,42.15213394,-72.60919953
1014,CHICOPEE,MA,42.15846633,-72.58535767
1020,CHICOPEE,MA,42.17536544,-72.57371521
1021,CHICOPEE,MA,42.15846633,-72.58535767
1022,CHICOPEE,MA,42.19857025,-72.5382309
1027,EASTHAMPTON,MA,42.26675796,-72.66898346
1028,EAST LONGMEADOW,MA,42.06454086,-72.51258851
1029,EAST OTIS,MA,42.1965866,-73.02281952
1030,FEEDING HILLS,MA,42.06708145,-72.67771912
1031,GILBERTVILLE,MA,42.31255722,-72.20785523
1032,GOSHEN,MA,42.45483016,-72.83382416
1033,GRANBY,MA,42.26388931,-72.49681855
1034,GRANVILLE,MA,42.09965515,-72.92243195
1035,HADLEY,MA,42.34175491,-72.58842469
1036,HAMPDEN,MA,42.06398391,-72.41341401
1037,HARDWICK,MA,42.37940597,-72.20084382
1038,HATFIELD,MA,42.38184738,-72.60919953
1039,HAYDENVILLE,MA,42.40041732,-72.69789124
1040,HOLYOKE,MA,42.20425796,-72.61620331
1041,HOLYOKE,MA,42.20815277,-72.60964966
1050,HUNTINGTON,MA,42.2335205,-72.87960053
1053,LEEDS,MA,42.35061264,-72.71562958
1054,LEVERETT,MA,42.48164367,-72.48498536
1056,LUDLOW,MA,42.1912918,-72.46131897
1057,MONSON,MA,42.10424423,-72.31895447
1059,NORTH AMHERST,MA,42.41032409,-72.53101349
1060,NORTHAMPTON,MA,42.32505035,-72.64118958
1061,NORTHAMPTON,MA,42.3214035,-72.62734986
1062,FLORENCE,MA,42.33550643,-72.67198182
1063,NORTHAMPTON,MA,42.31907272,-72.63951111
1066,NORTH HATFIELD,MA,42.41373825,-72.62620545
1068,OAKHAM,MA,42.3527565,-72.03496552
